,id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,date,price,year,year_month,month,season,dist_center
0,7129300520,3,1,1180.0,5650.0,1,0,0,3,7,1180.0,0.0,1955,0,98178,47.5112,-122.257,1340.0,5650.0,2014-10-13,221900.0,2014,2014-10,10,Fall,11.946707346674492
1,6414100192,3,2,2570.0,7242.0,2,0,0,3,7,2170.0,400.0,1951,1991,98125,47.721,-122.319,1690.0,7639.0,2014-12-09,538000.0,2014,2014-12,12,Winter,12.946206682583275
2,5631500400,2,1,770.0,10000.0,1,0,0,3,6,770.0,0.0,1933,0,98028,47.7379,-122.233,2720.0,8062.0,2015-02-25,180000.0,2015,2015-02,2,Winter,16.6197045548183
3,2487200875,4,3,1960.0,5000.0,1,0,0,5,7,1050.0,910.0,1965,0,98136,47.5208,-122.393,1360.0,5000.0,2014-12-09,604000.0,2014,2014-12,12,Winter,10.351539095391882
4,1954400510,3,2,1680.0,8080.0,1,0,0,3,8,1680.0,0.0,1987,0,98074,47.6168,-122.045,1800.0,7503.0,2015-02-18,510000.0,2015,2015-02,2,Winter,21.795624634169585
5,7237550310,4,4,5420.0,101930.0,1,0,0,3,11,3890.0,1530.0,2001,0,98053,47.6561,-122.005,4760.0,101930.0,2014-05-12,1230000.0,2014,2014-05,5,Spring,25.397384413363508
6,1321400060,3,2,1715.0,6819.0,2,0,0,3,7,1715.0,0.0,1995,0,98003,47.3097,-122.327,2238.0,6819.0,2014-06-27,257500.0,2014,2014-06,6,Summer,32.83877681378047
7,2008000270,3,1,1060.0,9711.0,1,0,0,3,7,1060.0,0.0,1963,0,98198,47.4095,-122.315,1650.0,9711.0,2015-01-15,291850.0,2015,2015-01,1,Winter,21.7874473003671
8,2414600126,3,1,1780.0,7470.0,1,0,0,3,7,1050.0,730.0,1960,0,98146,47.5123,-122.337,1780.0,8113.0,2015-04-15,229500.0,2015,2015-04,4,Spring,10.311135743358607
9,3793500160,3,2,1890.0,6560.0,2,0,0,3,7,1890.0,0.0,2003,0,98038,47.3684,-122.031,2390.0,7570.0,2015-03-12,323000.0,2015,2015-03,3,Spring,34.854163428694086
10,1736800520,3,2,3560.0,9796.0,1,0,0,3,8,1860.0,1700.0,1965,0,98007,47.6007,-122.145,2210.0,8925.0,2015-04-03,662500.0,2015,2015-04,4,Spring,14.248098195913151
11,9212900260,2,1,1160.0,6000.0,1,0,0,4,7,860.0,300.0,1942,0,98115,47.69,-122.292,1330.0,6000.0,2014-05-27,468000.0,2014,2014-05,5,Spring,9.96980695619644
12,114101516,3,1,1430.0,19901.0,1,0,0,4,7,1430.0,0.0,1927,0,98028,47.7558,-122.229,1780.0,12697.0,2014-05-28,310000.0,2014,2014-05,5,Spring,18.537085372054555
13,6054650070,3,1,1370.0,9680.0,1,0,0,4,7,1370.0,0.0,1977,0,98074,47.6127,-122.045,1370.0,10208.0,2014-10-07,400000.0,2014,2014-10,10,Fall,21.77384657261783
14,1175000570,5,2,1810.0,4850.0,1,0,0,3,7,1810.0,0.0,1900,0,98107,47.67,-122.394,1360.0,4850.0,2015-03-12,530000.0,2015,2015-03,3,Spring,8.501062171127515
15,9297300055,4,3,2950.0,5000.0,2,0,3,3,9,1980.0,970.0,1979,0,98126,47.5714,-122.375,2140.0,4000.0,2015-01-24,650000.0,2015,2015-01,1,Winter,4.8285559065817125
16,1875500060,3,2,1890.0,14040.0,2,0,0,3,7,1890.0,0.0,1994,0,98019,47.7277,-121.962,1890.0,14018.0,2014-07-31,395000.0,2014,2014-07,7,Summer,31.115723624982163
17,6865200140,4,1,1600.0,4300.0,1,0,0,4,7,1600.0,0.0,1916,0,98103,47.6648,-122.343,1610.0,4300.0,2014-05-29,485000.0,2014,2014-05,5,Spring,6.677627982929518
18,16000397,2,1,1200.0,9850.0,1,0,0,4,7,1200.0,0.0,1921,0,98002,47.3089,-122.21,1060.0,5095.0,2014-12-05,189000.0,2014,2014-12,12,Winter,34.23265480132172
19,7983200060,3,1,1250.0,9774.0,1,0,0,4,7,1250.0,0.0,1969,0,98003,47.3343,-122.306,1280.0,8850.0,2015-04-24,230000.0,2015,2015-04,4,Spring,30.175009301755335
20,6300500875,4,1,1620.0,4980.0,1,0,0,4,7,860.0,760.0,1947,0,98133,47.7025,-122.341,1400.0,4980.0,2014-05-14,385000.0,2014,2014-05,5,Spring,10.84914443785888
21,2524049179,3,2,3050.0,44867.0,1,0,4,3,9,2330.0,720.0,1968,0,98040,47.5316,-122.233,4110.0,20336.0,2014-08-26,2000000.0,2014,2014-08,8,Summer,11.172469277785265
22,7137970340,5,2,2270.0,6300.0,2,0,0,3,8,2270.0,0.0,1995,0,98092,47.3266,-122.169,2240.0,7005.0,2014-07-03,285000.0,2014,2014-07,7,Summer,33.37163181509491
23,8091400200,2,1,1070.0,9643.0,1,0,0,3,7,1070.0,0.0,1985,0,98030,47.3533,-122.166,1220.0,8386.0,2014-05-16,252700.0,2014,2014-05,5,Spring,30.72962643967138
24,3814700200,3,2,2450.0,6500.0,2,0,0,4,8,2450.0,0.0,1985,0,98030,47.3739,-122.17298,2200.0,6865.0,2014-11-20,329000.0,2014,2014-11,11,Fall,28.429334386115677
